index,slug,name,method,endpoint,category,category_label,billing,qps,free_quota_logged_in,free_quota_anonymous,required_query_params,optional_query_params,marketplace_url,docs_url,raw_docs_url,openapi_operation_id,summary,growth_tier,growth_action,promotion_angle,known_calls_30d,known_errors_30d,known_error_rate
11,company-search,企业工商信息查询,GET,https://v1.apizero.cn/api/company-search,kyc,身份核验,免费试用 · 单次 0 积分,5 / s,50,20,name,,https://apizero.cn/marketplace/company-search,https://apizero.cn/aidocs/company-search,https://apizero.cn/aidocs/company-search/raw.md,company_search,通过企业名称关键词查询工商信息，返回前 5 条最匹配结果（按上游评分排序）。覆盖企业全称、法人、注册资本、统一社会信用代码、经营范围、注册地、联系方式等核心字段。数据来自天眼查权威工商数据库，6 小时缓存。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
12,moji-weather,墨迹天气,GET,https://v1.apizero.cn/api/moji-weather,life,生活服务,免费试用 · 单次 0 积分,5 / s,3000,1000,,"city, id, op, keyword, limit, day, month",https://apizero.cn/marketplace/moji-weather,https://apizero.cn/aidocs/moji-weather,https://apizero.cn/aidocs/moji-weather/raw.md,moji_weather,接入墨迹天气官方数据，支持全国 3 万+ 城市实况、历史天气、未来 7 天、24 小时趋势、AQI、9 项生活指数、气象预警及农历，一次调用全量返回。 支持 4 种查询模式： - ?city=北京 · 按城市名查实况（自动模糊匹配第一个） - ?id=33 · 按 internal_id 直查（跳过搜索，更快） - ?op=search&keyword=北京 · 仅搜索城市列表，拿 id - ?op=history&city=北京&day=2026-05-12 · 历史天气（支持单日 / 整月） 历史天气范围： - 当前月：返回 1 号至昨天的数据 - 历史月（≤ 上月）：返回完整 30 天 - 建议查近 40 天以内，过早的月份可能无数据 服务端缓存策略： - 实况：5 分钟；历史·当月：30 分钟；历史·过去月：24 小时 注意：数据由墨迹天气提供，仅供参考，不应用于农业、保险、航运、防灾等专业决策场景。 联系站长：apizero.cn,A-core,主推,墨迹天气；和 weather 合并做天气专题，对比字段丰富度和使用场景。,441,14,3.17%
13,riddle,谜语大全,POST,https://v1.apizero.cn/api/riddle,content,内容娱乐,免费试用 · 单次 0 积分,5 / s,50,30,,,https://apizero.cn/marketplace/riddle,https://apizero.cn/aidocs/riddle,https://apizero.cn/aidocs/riddle/raw.md,riddle,谜语接口，支持随机一条、分页列表、类型列表三种模式（action=random/list/types）。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
14,exchange-rate,实时汇率查询,GET,https://v1.apizero.cn/api/exchange-rate,finance,金融数据,免费试用 · 单次 0 积分,5 / s,200,50,,"money, from, to, action",https://apizero.cn/marketplace/exchange-rate,https://apizero.cn/aidocs/exchange-rate,https://apizero.cn/aidocs/exchange-rate/raw.md,exchange_rate,实时汇率查询，支持 26 种主流货币（CNY/USD/EUR/GBP/JPY 等）一键互转。数据 1 分钟级更新，毫秒响应，免费且无需注册即可调用。 基于 ALAPI 汇率源，覆盖人民币、美元、欧元、英镑、日元、港币、韩元、澳元、加元、新加坡元、瑞士法郎、新台币、泰铢、马来西亚林吉特、俄罗斯卢布、印度卢比、巴西雷亚尔、南非兰特、新西兰元、瑞典/挪威/丹麦克朗、菲律宾比索、印尼盾、越南盾、阿联酋迪拉姆等。 支持「同币种快路径」（from=to 时本地直接返回，0 上游消耗），以及「货币列表查询」action=currencies 子命令（返回支持的全部 26 种货币代码与中文名）。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
15,fund,基金估值跟踪,GET,https://v1.apizero.cn/api/fund,finance,金融数据,免费试用 · 单次 0 积分,5 / s,200,50,action,code,https://apizero.cn/marketplace/fund,https://apizero.cn/aidocs/fund,https://apizero.cn/aidocs/fund/raw.md,fund,基金估值跟踪，一接口聚合「基金实时估值 / 指数行情 / 基金详情 / 全部常用指数批量」4 大功能，覆盖国内基金 + A 股核心指数。 基于天天基金、新浪财经、东方财富三路上游，无需注册即可调用： • action=estimate — 基金实时估值（盘中每分钟更新，含单位净值、估算净值、估算涨跌幅、上次净值日期） • action=index — 单个指数行情（新浪主、东方财富备双通道容灾，含当前点位、涨跌点、涨跌幅） • action=info — 基金详细信息（名称、净值、累计净值、近 1 月/3 月/6 月/1 年/3 年/成立来收益、基金类型、风险等级、规模、基金经理、成立日、管理人） • action=indices — 6 个常用指数批量（上证、深证成指、创业板、上证 50、沪深 300、中证 500） 本接口已修复源码中「新浪通道缺 sh/sz 前缀」的 bug，并优化了 HTML 爬虫的容错。,B-support,补充推广,基金估值 API；适合 Python 自用脚本、看板、投资工具教程。,,,
16,hitokoto,一言 · 经典语录,GET,https://v1.apizero.cn/api/hitokoto,life,生活服务,免费试用 · 单次 0 积分,20 / s,500000,200000,,"c, min_length, max_length",https://apizero.cn/marketplace/hitokoto,https://apizero.cn/aidocs/hitokoto,https://apizero.cn/aidocs/hitokoto/raw.md,hitokoto,从 370+ 条经典语录库（动漫/漫画/游戏/文学/影视/诗词/哲学/网络等 12 类）随机返回一条，含原文、出处、作者、分类、字数。支持按分类与长度筛选。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
17,netease-comment,网易云热门乐评,POST,https://v1.apizero.cn/api/netease-comment,content,内容娱乐,免费试用 · 单次 0 积分,5 / s,50,30,,,https://apizero.cn/marketplace/netease-comment,https://apizero.cn/aidocs/netease-comment,https://apizero.cn/aidocs/netease-comment/raw.md,netease_comment,随机返回一条网易云音乐高赞热评，含歌曲信息（标题/作者/封面/试听）和评论详情。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
18,wzry,王者战力查询,GET,https://v1.apizero.cn/api/wzry,life,生活服务,免费试用 · 单次 0 积分,5 / s,200,50,action,"hero, hero_id, zone, type",https://apizero.cn/marketplace/wzry,https://apizero.cn/aidocs/wzry,https://apizero.cn/aidocs/wzry/raw.md,wzry,王者荣耀全国战力查询，一接口聚合「英雄列表 + 区服战力分布」2 大功能。 • action=heroes — 返回 130+ 个英雄完整目录（中文名 / ename / 称号 / 头像 URL），优先腾讯官方源 https://pvp.qq.com/web201605/js/herolist.json • action=query — 查询某英雄在某区服的全国战力分布数据，返回 90 条左右的省市区战力榜（含同地区相近排名） 支持 4 大区服： · aqq = Android QQ · awx = Android 微信 · iqq = iOS QQ · iwx = iOS 微信 查询类型： · all = 完整 heroList（按 level 混合排列，约 90 项） · min = 各级（省/市/区）最低战力 + 相近排名（rank ≤ +100） · max = 各级（省/市/区）最高战力 + 相近排名,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
19,content-moderation,内容审核,POST,https://v1.apizero.cn/api/content-moderation,content,内容娱乐,免费试用 · 单次 0 积分,10 / s,500,100,,,https://apizero.cn/marketplace/content-moderation,https://apizero.cn/aidocs/content-moderation,https://apizero.cn/aidocs/content-moderation/raw.md,content_moderation,基于「敏感词库 + 正则规则 + AI 特征评分」三重策略检测文本中的色情 / 政治 / 广告 / 联系方式 / 引流 / 谩骂 6 大类敏感内容。识别变体绕过（谐音、拼音、符号替换），输出 safe/low/medium/high 风险等级，可选自动脱敏。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
20,brain-teaser,脑筋急转弯,GET,https://v1.apizero.cn/api/brain-teaser,life,生活服务,免费试用 · 单次 0 积分,20 / s,200000,10000,,,https://apizero.cn/marketplace/brain-teaser,https://apizero.cn/aidocs/brain-teaser,https://apizero.cn/aidocs/brain-teaser/raw.md,brain_teaser,从 4500+ 条本地题库随机返回一条脑筋急转弯，包含题目和答案。零上游依赖，毫秒级返回，适合聊天机器人、APP 互动模块。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
21,oil-price-forecast,今日油价,GET,https://v1.apizero.cn/api/oil-price-forecast,life,生活服务,免费试用 · 单次 0 积分,3 / s,10000,5000,,"action, province, year",https://apizero.cn/marketplace/oil-price-forecast,https://apizero.cn/aidocs/oil-price-forecast,https://apizero.cn/aidocs/oil-price-forecast/raw.md,oil_price_forecast,提供 32 省份基准油价（92/95/98 号汽油 + 0 号柴油），并基于新浪财经国际原油（WTI、布伦特）实时走势，预测下一次国内调价方向（涨/跌/搁浅）和幅度。附带 2025-2026 年完整调价窗口日历。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
22,gold,黄金价格查询,GET,https://v1.apizero.cn/api/gold,finance,金融数据,免费试用 · 单次 0 积分,5 / s,200,50,,type,https://apizero.cn/marketplace/gold,https://apizero.cn/aidocs/gold,https://apizero.cn/aidocs/gold/raw.md,gold,实时黄金价格聚合查询，一次返回三大维度的金价数据： • 国际黄金报价（4 项）：国际金价、国际铂金、国际银价、国际钯金，含最新价 / 涨跌额 / 涨跌幅 / 最高价 / 最低价 / 报价时间 • 国内黄金报价（7 项）：国内金价、国内银价、投资金条、黄金回收价格、铂金回收价格、18K 金回收价格、钯金回收价格 • 十大品牌金店金价（17 家）：内地周大福、周生生、六福珠宝、老凤祥、老庙黄金、中国黄金、周六福、菜百、明牌珠宝、潮宏基等十大品牌的当日黄金 / 铂金 / 金条价格（元/克） 通过参数 type 可只取某一类（all=全部，brand=品牌金店，international=国际，domestic=国内）。 基于 huangjinjiage.cn 数据源，已修复源码 GBK 编码乱码 bug，内建 10 分钟缓存。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
23,translate,文本翻译,GET,https://v1.apizero.cn/api/translate,content,内容娱乐,免费试用 · 单次 0 积分,5 / s,5000,2000,q,"from, to",https://apizero.cn/marketplace/translate,https://apizero.cn/aidocs/translate,https://apizero.cn/aidocs/translate/raw.md,translate,文本翻译，支持 19 种语言互译（含粤语/文言文）。参数 q 传入文本，from/to 指定语言代码，默认中文→英文。注意使用百度系语言代码：日语 jp、韩语 kor、法语 fra。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
24,ocr-text,OCR 文字识别,POST,https://v1.apizero.cn/api/ocr-text,ocrdata,文档识别,免费试用 · 单次 0 积分,2 / s,300,50,,,https://apizero.cn/marketplace/ocr-text,https://apizero.cn/aidocs/ocr-text,https://apizero.cn/aidocs/ocr-text/raw.md,ocr_text,"通用 OCR 文字识别，从图片中提取任意文字内容（中文/英文/数字/符号/手写体等），返回逐行文本列表 + 完整拼接文本。 • 双输入模式： - input_type=url：传入公网可访问的图片 URL（http/https） - input_type=base64：传入 base64 编码字符串（≤6MB，自动剥离 data:image/...;base64, 前缀） • 三路输出： - text_list：按原图顺序的逐行文本数组 - full_text：用换行符 \n 拼接的完整文本字符串 - text_count：识别到的文本行数 • 适用场景：截图转文字、表格识别、身份证/名片文字提取、字幕识别、笔记 OCR 等通用场景。专用发票识别请用 /api/invoice。 • OCR 结果缓存 1 小时（同图同结果），重复调用不消耗上游配额。",D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
25,baby-naming,八字起名,POST,https://v1.apizero.cn/api/baby-naming,life,生活服务,免费试用 · 单次 0 积分,2 / s,5000,3000,,,https://apizero.cn/marketplace/baby-naming,https://apizero.cn/aidocs/baby-naming,https://apizero.cn/aidocs/baby-naming/raw.md,baby_naming,输入父母姓氏与出生时间，基于「八字五行 + 五格数理 + 三才配置」综合评分生成高分名字候选，附寓意标签与全国重名预估。三个 action：naming（智能起名）/ duplicate（重名查询）/ bazi（八字查询）。内置 396 姓氏笔画 + 175 起名字 + 88 姓人口。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
26,express,快递物流查询,GET,https://v1.apizero.cn/api/express,life,生活服务,免费试用 · 单次 0 积分,5 / s,100,30,number,"com, phone",https://apizero.cn/marketplace/express,https://apizero.cn/aidocs/express,https://apizero.cn/aidocs/express/raw.md,express,"快递物流查询，支持顺丰、圆通、中通、申通、韵达、极兔、京东、EMS 等 100+ 主流快递公司，自动识别单号所属公司，返回完整物流轨迹。 基于 ALAPI 物流源，覆盖国内全部主流快递。支持「自动识别」（不传 com 参数即可）和「手动指定公司编码」两种模式。顺丰、中通因隐私保护需求，必须传手机号后 4 位（参数 phone）。 返回字段包含：单号、快递公司编码、公司中文名、状态码（0=未查到, 1=已揽收, 2=在途, 3=签收, 4=问题件）、状态描述、完整物流轨迹（按时间倒序，包含每条轨迹的时间和文字描述）。 建议前端轮询频率不超过每分钟 1 次，本接口已内建 5 分钟缓存以节省调用次数。",D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
27,image-enhance,AI 图片变清晰,POST,https://v1.apizero.cn/api/image-enhance,ai,AI 能力,免费试用 · 单次 0 积分,1 / s,10,0,,,https://apizero.cn/marketplace/image-enhance,https://apizero.cn/aidocs/image-enhance,https://apizero.cn/aidocs/image-enhance/raw.md,image_enhance,基于先进 AI 超分辨率算法的图片高清化服务。输入一张模糊 / 低分辨率图片 URL，约 4 秒内返回 4 倍超分辨率的高清版本（如 300×300 → 1200×1200），支持 JPEG / PNG / WebP / BMP 等主流格式。 【核心能力】 - 4 倍超分辨率（最大边自动放大约 4 倍） - 自动去噪 / 去糊 / 锐化细节 - 保留原图色彩与构图 - 适合老照片修复、缩略图放大、低质截图增强、网络图片优化 - 输出 JPEG 高质量（HD 模式） 【典型场景】 - 电商：商品低清图自动高清化 - 自媒体：老照片 / 截图修复用于配图 - 设计：素材尺寸不够时快速放大 - 视频缩略图、社交头像高清化 - 旧扫描件 / 截屏文字增强 【调用示例】 POST /api/image-enhance Content-Type: application/x-www-form-urlencoded img=https://example.com/your-blurry-image.jpg 【⚠️ 输入限制】 - 必须是 **公网可访问** 的 http/https URL（私有 OSS 链接需先签名） - 文件大小 ≤ 10 MB - 支持格式：JPEG / PNG / WebP / BMP 【⚠️ 输出说明】 - 返回的 enhanced_url 为平台代理 URL（自有域名，跨域友好） - 实际图片在 6 小时内有效，请尽快下载保存 - 平均响应 4~6 秒，复杂图片可能需要 10~30 秒 【计费说明】 登录用户每日 10 次免费体验，超出按点数扣费（详见控制台）。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
28,tts,TTS 语音合成,POST,https://v1.apizero.cn/api/tts,ai,AI 能力,免费试用 · 单次 0 积分,3 / s,30,10,,,https://apizero.cn/marketplace/tts,https://apizero.cn/aidocs/tts,https://apizero.cn/aidocs/tts/raw.md,tts,"对接 alapi.cn 文本转语音（TTS）服务，输入文本返回 base64 编码的 MP3 音频。 • **5 种音色**：女声主播 / 男声主播 / 男声说唱 / 女声四川话 / 男声低沉 • **500 字以内**：单次请求最多 500 字符（中英文均按 1 字符计） • **MP3 格式**：上游返回 audio/mpeg 编码，前端可直接 `<audio src=""data:audio/mpeg;base64,..."">` 播放 • **便利字段**：返回 audio_data_url（拼好的 data URL）+ audio_size_bytes（解码后字节数）+ audio_format / audio_mime • **典型场景**：新闻播报 / 短视频配音 / 有声书 / 语音通知 / 客服 IVR • **不缓存**：500 字音频约 1MB，重复合成概率低，避免 Redis 内存膨胀",D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
29,wzry-battle,王者荣耀战绩查询,POST,https://v1.apizero.cn/api/wzry-battle,content,内容娱乐,免费试用 · 单次 0 积分,2 / s,20,5,,,https://apizero.cn/marketplace/wzry-battle,https://apizero.cn/aidocs/wzry-battle,https://apizero.cn/aidocs/wzry-battle/raw.md,wzry_battle,通过王者营地小程序接口查询玩家战报，支持搜索玩家、查询角色列表、获取历史战绩与 KDA 统计。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
30,crazy-thursday,疯狂星期四文案,GET,https://v1.apizero.cn/api/crazy-thursday,life,生活服务,免费试用 · 单次 0 积分,5 / s,20000,10000,,"action, category, count",https://apizero.cn/marketplace/crazy-thursday,https://apizero.cn/aidocs/crazy-thursday,https://apizero.cn/aidocs/crazy-thursday/raw.md,crazy_thursday,随机返回一段脑洞大开的 KFC「疯狂星期四」文学。内置 52 条精选文案，覆盖情感/搞笑/职场/文艺/学术/古风/悬疑/科幻/鸡汤/日常 10 个分类。支持随机、批量、分类列表与疯四倒计时。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
